code;name
01;Argentina
02;Australia
03;Brazil
04;Canada
05;China
06;Colombia
07;Ariba CZ
08;Germany
09;India
10;Japan
11;Mexico
12;Malaysia
13;Portugal
14;Romania
15;Russia
16;Sucess Factors
17;Norh America
18;Ariba US
19;Germany
